30
30

687,558,542,666,698,592,577,580,610,574,723,598,597,561,576,754,552,607,534,669,506,526,714,590,657,566,665,652,539,357,
431,435,488,486,450,400,405,542,471,436,505,477,514,338,452,582,405,420,435,486,342,411,542,391,534,423,513,466,430,239,
522,453,360,455,466,397,452,434,419,420,567,454,358,404,353,581,405,339,348,450,315,423,502,394,481,465,423,501,390,250,
525,386,371,433,510,495,385,421,451,425,562,443,414,426,379,576,333,448,348,461,270,431,449,387,423,451,421,479,387,254,
449,372,385,498,447,396,371,463,427,466,523,446,411,332,393,530,340,327,374,410,323,425,478,393,485,428,456,469,390,190,
629,456,497,555,570,537,482,566,545,523,611,530,509,530,523,688,462,531,448,528,459,493,555,472,568,503,508,565,450,281,
646,476,517,560,539,509,491,553,580,512,631,498,461,470,466,604,396,449,406,563,385,509,551,518,527,499,517,528,558,281,
467,403,375,400,428,413,467,505,384,452,471,374,436,438,456,536,445,389,337,483,364,345,444,342,498,447,429,418,449,219,
727,655,570,621,658,602,669,644,652,610,724,618,645,584,576,751,572,521,532,710,431,514,625,513,678,650,612,769,503,408,
626,530,482,601,607,586,574,568,667,544,592,528,599,564,537,730,437,492,507,586,474,500,504,486,630,554,578,638,470,415,
651,580,627,617,654,615,508,648,647,556,697,558,647,558,634,743,519,574,565,600,436,534,667,600,663,569,637,691,551,331,
663,518,476,580,584,546,545,608,551,558,627,513,528,536,498,667,498,487,453,539,413,467,553,462,582,536,512,608,448,301,
508,501,415,534,528,450,414,457,505,468,639,512,497,461,403,678,452,467,438,484,359,464,550,460,520,488,519,559,398,300,
568,547,429,509,448,474,432,528,529,556,580,451,482,444,405,641,374,362,452,437,400,464,501,394,494,500,386,608,420,288,
659,488,490,544,562,456,483,473,564,444,599,481,453,469,430,615,418,493,359,542,381,449,543,459,461,445,431,542,412,288,
654,542,517,581,651,551,521,602,588,591,633,561,607,524,582,697,494,558,467,583,404,506,595,498,584,522,516,645,491,311,
525,519,376,448,497,468,567,501,519,473,513,442,469,440,438,536,407,343,421,504,264,395,486,376,555,529,481,580,422,349,
525,467,493,584,537,434,387,484,508,412,557,383,498,418,487,625,380,449,458,481,446,387,508,533,549,431,521,496,441,261,
529,428,456,566,521,446,477,516,520,504,529,532,545,426,496,559,423,442,441,541,390,470,547,438,579,432,549,520,415,305,
584,490,461,569,483,483,408,497,556,499,584,563,500,373,411,606,363,367,432,477,400,465,512,407,547,424,468,524,428,272,
697,556,545,686,668,594,603,635,634,597,786,655,599,558,524,795,506,582,526,674,394,598,666,583,668,632,674,686,529,359,
596,441,446,559,588,581,481,535,590,470,612,539,526,484,464,690,422,523,471,537,391,488,563,452,621,524,565,519,435,336,
498,477,437,497,486,433,436,477,474,427,554,447,498,407,454,557,364,405,379,462,277,409,537,488,461,461,455,583,416,254,
735,565,483,579,535,591,626,618,556,565,686,579,468,522,440,677,521,412,457,612,428,514,607,471,664,576,568,604,511,286,
583,527,466,505,487,506,533,585,532,567,547,514,550,433,520,578,470,448,442,575,393,380,544,411,580,451,508,548,503,275,
544,547,459,572,578,510,423,559,589,500,589,470,525,430,479,665,417,514,473,513,390,478,597,476,515,501,501,543,455,302,
565,520,420,496,593,443,415,511,459,497,608,459,497,401,426,597,420,409,451,475,317,418,563,427,481,456,453,596,394,297,
544,455,375,427,450,445,530,449,401,477,570,497,385,414,400,510,440,370,341,516,264,407,421,346,530,492,480,448,415,291,
580,415,469,573,581,541,499,502,582,484,591,553,459,467,459,597,431,469,431,507,349,516,573,500,541,509,564,600,431,259,
640,551,546,550,594,575,568,574,527,552,678,521,593,514,567,641,552,514,483,624,368,480,659,483,619,608,583,637,515,293,
